YYYYMMDD;HHMM;SST;Q;S
20201110;1200;26.29;2;1
20201111;1200;26.31;2;1
20201112;1200;26.49;2;1
20201113;1200;26.53;2;1
20201114;1200;26.60;2;1
20201115;1200;26.60;2;1
20201116;1200;26.54;2;1
20201117;1200;26.53;2;1
20201118;1200;26.68;2;1
20201119;1200;26.78;2;1
20201120;1200;26.84;2;1
20201121;1200;26.88;2;1
20201122;1200;26.83;2;1
20201123;1200;26.78;2;1
20201124;1200;26.72;2;1
20201125;1200;26.70;2;1
20201126;1200;26.73;2;1
20201127;1200;26.71;2;1
20201128;1200;26.64;2;1
20201129;1200;26.64;2;1
20201130;1200;26.61;2;1
20201201;1200;26.62;2;1
20201202;1200;26.64;2;1
20201203;1200;26.69;2;1
20201204;1200;26.77;2;1
20201205;1200;26.81;2;1
20201206;1200;26.95;2;1
20201207;1200;26.93;2;1
20201208;1200;26.95;2;1
20201209;1200;27.02;2;1
20201210;1200;26.99;2;1
20201211;1200;26.91;2;1
20201212;1200;26.92;2;1
20201213;1200;26.92;2;1
20201214;1200;26.89;2;1
20201215;1200;26.89;2;1
20201216;1200;26.94;2;1
20201217;1200;27.01;2;1
20201218;1200;27.10;2;1
20201219;1200;27.16;2;1
20201220;1200;27.18;2;1
20201221;1200;27.22;2;1
20201222;1200;27.23;2;1
20201223;1200;27.19;2;1
20201224;1200;27.11;2;1
20201225;1200;27.08;2;1
20201226;1200;27.14;2;1
20201227;1200;27.12;2;1
20201228;1200;27.10;2;1
20201229;1200;27.07;2;1
20201230;1200;27.06;2;1
20201231;1200;27.11;2;1
