YYYYMMDD;HHMM;Prec;StDev;%Time;Q;S
20200821;1200;0.05;0.43;1.00;2;1
20200822;1200;0.00;0.24;0.00;2;1
20200823;1200;0.09;0.71;4.00;2;1
20200824;1200;-0.05;0.33;0.00;2;1
20200825;1200;-0.05;0.33;1.00;2;1
20200826;1200;0.05;0.52;1.00;2;1
20200827;1200;0.05;0.71;1.00;2;1
20200828;1200;0.00;0.28;0.00;2;1
20200829;1200;0.00;0.28;0.00;2;1
20200830;1200;0.00;0.28;0.00;2;1
20200831;1200;0.00;0.28;0.00;2;1
20200901;1200;0.05;0.71;1.00;2;1
20200902;1200;-0.05;0.28;0.00;2;1
20200903;1200;0.00;0.38;1.00;2;1
20200904;1200;0.00;0.43;1.00;2;1
20200905;1200;0.00;0.43;3.00;2;1
20200906;1200;-0.05;0.47;3.00;2;1
20200907;1200;0.00;0.38;2.00;2;1
20200908;1200;0.00;0.47;3.00;2;1
20200909;1200;0.00;0.24;0.00;2;1
20200910;1200;-0.05;0.43;4.00;2;1
20200911;1200;0.00;0.43;3.00;2;1
20200912;1200;-0.05;0.43;2.00;2;1
20200913;1200;0.00;0.71;2.00;2;1
20200914;1200;-0.05;0.24;0.00;2;1
20200915;1200;0.00;0.24;0.00;2;1
20200916;1200;0.00;0.19;0.00;2;1
20200917;1200;0.00;0.19;0.00;2;1
20200918;1200;0.00;0.19;0.00;2;1
20200919;1200;0.00;0.19;0.00;2;1
20200920;1200;0.00;0.19;0.00;2;1
20200921;1200;0.00;0.19;0.00;2;1
20200922;1200;0.00;0.19;0.00;2;1
20200923;1200;0.00;0.24;0.00;2;1
20200924;1200;0.00;0.19;0.00;2;1
20200925;1200;0.00;0.19;0.00;2;1
20200926;1200;0.00;0.14;0.00;2;1
20200927;1200;0.00;0.19;0.00;2;1
20200928;1200;0.00;0.19;0.00;2;1
20200929;1200;0.00;0.19;0.00;2;1
20200930;1200;0.00;0.14;0.00;2;1
20201001;1200;0.00;0.19;0.00;2;1
20201002;1200;0.00;0.14;0.00;2;1
20201003;1200;0.00;0.19;0.00;2;1
20201004;1200;0.00;0.14;0.00;2;1
20201005;1200;0.00;0.14;0.00;2;1
20201006;1200;0.05;0.47;1.00;2;1
20201007;1200;0.00;0.19;0.00;2;1
20201008;1200;0.00;0.19;0.00;2;1
20201009;1200;0.00;0.24;0.00;2;1
20201010;1200;0.00;0.24;0.00;2;1
20201011;1200;0.09;0.52;3.00;2;1
20201012;1200;0.05;0.28;1.00;2;1
20201013;1200;0.00;0.24;0.00;2;1
20201014;1200;0.00;0.19;0.00;2;1
20201015;1200;0.00;0.24;0.00;2;1
20201016;1200;0.05;0.57;1.00;2;1
20201017;1200;0.00;0.47;0.00;2;1
20201018;1200;0.00;0.28;0.00;2;1
20201019;1200;0.00;0.14;0.00;2;1
20201020;1200;0.00;0.52;0.00;2;1
20201021;1200;0.00;0.14;0.00;2;1
20201022;1200;0.00;0.14;0.00;2;1
20201023;1200;0.00;0.66;0.00;2;1
20201024;1200;0.00;0.57;0.00;2;1
20201025;1200;-9.99;-9.99;-9.99;0;0
20201026;1200;0.28;1.52;9.00;2;1
20201027;1200;2.71;51.60;39.00;2;1
20201028;1200;0.00;0.43;1.00;2;1
20201029;1200;0.00;0.62;0.00;2;1
20201030;1200;-0.05;0.33;0.00;2;1
20201031;1200;0.00;0.62;0.00;2;1
20201101;1200;1.09;5.65;13.00;2;1
20201102;1200;0.00;0.28;2.00;2;1
20201103;1200;0.05;0.43;4.00;2;1
20201104;1200;2.42;3.99;57.00;2;1
20201105;1200;1.00;2.75;30.00;2;1
20201106;1200;0.00;0.19;1.00;2;1
20201107;1200;0.00;0.05;0.00;2;1
20201108;1200;0.00;0.05;0.00;2;1
20201109;1200;0.00;0.05;0.00;2;1
20201110;1200;0.00;0.14;0.00;2;1
20201111;1200;0.00;0.05;0.00;2;1
20201112;1200;0.05;0.81;1.00;2;1
20201113;1200;0.00;0.05;0.00;2;1
20201114;1200;0.00;0.09;0.00;2;1
20201115;1200;0.00;0.09;0.00;2;1
